Name,Team,ERA,WHIP,K%,K/9,xBA Allowed,xwOBA Allowed,xSLG Allowed,Bullpen_ERA
Blake Treinen,LAD,3.24,1.32,22.2,8.6,0.256,0.334,0.451,4.15
Edgardo Henriquez,LAD,3.26,1.03,23.4,8.4,0.189,0.301,0.289,4.15
Emmet Sheehan,LAD,4.7,1.24,27.2,10.3,0.263,0.324,0.48,4.15
Eric Lauer,LAD,5.95,1.39,16.3,6.4,0.265,0.337,0.535,4.15
Jonathan Hernández,LAD,0.0,0.25,30.8,9.0,0.01,0.092,0.02,4.15
Justin Wrobleski,LAD,3.07,1.11,13.7,5.0,0.239,0.297,0.339,4.15
Kyle Hurt,LAD,1.06,0.82,31.2,10.6,0.182,0.253,0.261,4.15
Paul Gervase,LAD,1.8,1.4,23.8,9.0,0.273,0.348,0.283,4.15
Roki Sasaki,LAD,4.93,1.42,21.3,8.5,0.273,0.358,0.5,4.15
Tanner Scott,LAD,1.19,0.62,33.3,10.7,0.151,0.188,0.238,4.15
Will Klein,LAD,1.93,1.03,26.9,9.6,0.219,0.284,0.264,4.15
Yoshinobu Yamamoto,LAD,3.09,0.98,23.8,8.3,0.226,0.277,0.391,4.15
Andrew Alvarez,WSH,2.84,1.03,32.7,11.4,0.227,0.28,0.368,4.15
Brad Lord,WSH,2.83,1.03,19.9,7.5,0.234,0.291,0.348,4.15
Cade Cavalli,WSH,3.62,1.41,25.4,10.3,0.279,0.366,0.375,4.15
Clayton Beeter,WSH,2.7,1.2,22.8,8.8,0.143,0.313,0.287,4.15
Foster Griffin,WSH,3.63,1.13,23.2,8.7,0.229,0.306,0.411,4.15
Gus Varland,WSH,3.8,1.41,20.4,8.0,0.29,0.341,0.41,4.15
Miles Mikolas,WSH,5.72,1.39,14.5,5.7,0.286,0.333,0.508,4.15
Mitchell Parker,WSH,5.33,1.19,21.9,8.3,0.245,0.319,0.422,4.15
Orlando Ribalta,WSH,2.13,1.03,19.6,7.1,0.206,0.275,0.303,4.15
Paxton Schultz,WSH,5.3,1.45,24.7,10.1,0.296,0.352,0.436,4.15
Richard Lovelady,WSH,2.7,1.71,19.4,8.1,0.28,0.402,0.413,4.15
Zack Littell,WSH,5.23,1.39,12.8,5.1,0.279,0.336,0.544,4.15
A.J. Minter,NYM,0.0,1.0,50.0,18.0,0.26,0.265,0.27,4.15
Austin Warren,NYM,1.56,1.21,26.8,9.9,0.22,0.311,0.359,4.15
Brooks Raley,NYM,1.27,1.22,26.4,10.1,0.218,0.326,0.306,4.15
Christian Scott,NYM,3.2,1.38,26.3,10.7,0.231,0.366,0.325,4.15
David Peterson,NYM,5.57,1.67,21.1,8.9,0.31,0.383,0.434,4.15
Devin Williams,NYM,6.0,1.72,33.7,14.0,0.275,0.398,0.446,4.15
Freddy Peralta,NYM,3.52,1.27,24.0,9.2,0.23,0.32,0.382,4.15
Huascar Brazobán,NYM,1.67,0.96,19.6,7.0,0.17,0.27,0.265,4.15
Jonah Tong,NYM,0.0,1.2,10.7,4.0,0.14,0.301,0.15,4.15
Luke Weaver,NYM,3.04,1.06,25.0,9.1,0.21,0.289,0.326,4.15
Nolan McLean,NYM,4.4,1.09,29.6,11.0,0.222,0.307,0.383,4.15
Sean Manaea,NYM,5.56,1.62,23.8,10.1,0.302,0.388,0.465,4.15
Tobias Myers,NYM,3.62,1.05,20.2,7.2,0.233,0.281,0.433,4.15
